# wavelength klambda
 1275.0  13.540
 1330.0  12.520
 1385.0  11.510
 1435.0  10.800
 1490.0   9.840
 1545.0   9.280
 1595.0   9.060
 1647.0   8.490
 1700.0   8.010
 1755.0   7.710
 1810.0   7.170
 1860.0   6.900
 1910.0   6.760
 2000.0   6.380
 2115.0   5.850
 2220.0   5.300
 2335.0   4.530
 2445.0   4.240
 2550.0   3.910
 2665.0   3.490
 2778.0   3.150
 2890.0   3.000
 2995.0   2.650
 3105.0   2.290
 3704.0   1.810
 4255.0   1.000
 5291.0   0.000
12500.0  -2.020
16500.0  -2.360
22000.0  -2.470
